2022-04-15 09:23:33,224 | bot | INFO | Cog loaded: OCPcommands
2022-04-15 09:23:33,227 | bot | INFO | Cog loaded: AdminCommands
2022-04-15 09:23:33,228 | bot | INFO | Cog loaded: ErrorHandler
2022-04-15 09:23:33,229 | bot | INFO | Cog loaded: CPcommands
2022-04-15 13:09:32,652 | main | INFO | Starting program...
2022-04-15 13:09:32,654 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-15 13:09:32,799 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-15 13:09:32,801 | bot | INFO | Bot Subclass Created.
2022-04-15 13:09:32,825 | bot | INFO | Cog loaded: OCPcommands
2022-04-15 13:09:32,844 | bot | INFO | Cog loaded: CPcommands
2022-04-15 13:09:32,850 | bot | INFO | Cog loaded: AdminCommands
2022-04-15 13:09:32,856 | bot | INFO | Cog loaded: ErrorHandler
2022-04-15 13:09:32,865 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-15 13:53:30,211 | main | INFO | Starting program...
2022-04-15 13:53:30,212 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-15 13:53:30,236 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-15 13:53:30,237 | bot | INFO | Bot Subclass Created.
2022-04-15 13:53:30,241 | bot | INFO | Cog loaded: OCPcommands
2022-04-15 13:53:30,243 | bot | INFO | Cog loaded: AdminCommands
2022-04-15 13:53:30,244 | bot | INFO | Cog loaded: CPcommands
2022-04-15 13:53:30,245 | bot | INFO | Cog loaded: ErrorHandler
2022-04-15 13:53:30,247 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-15 14:54:06,396 | main | INFO | Starting program...
2022-04-15 14:54:06,405 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-15 14:54:06,450 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-15 14:54:06,451 | bot | INFO | Bot Subclass Created.
2022-04-15 14:54:06,456 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-15 14:54:06,458 | bot | INFO | Cog loaded: AdminCommands
2022-04-15 14:54:06,459 | bot | INFO | Cog loaded: OCPcommands
2022-04-15 14:54:06,460 | bot | INFO | Cog loaded: ErrorHandler
2022-04-15 14:54:06,461 | bot | INFO | Cog loaded: CPcommands
2022-04-15 22:09:02,166 | main | INFO | Starting program...
2022-04-15 22:09:02,166 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-15 22:09:02,224 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-15 22:09:02,226 | bot | INFO | Bot Subclass Created.
2022-04-15 22:09:02,232 | bot | INFO | Cog loaded: ErrorHandler
2022-04-15 22:09:02,234 | bot | INFO | Cog loaded: CPcommands
2022-04-15 22:09:02,238 | bot | INFO | Cog loaded: OCPcommands
2022-04-15 22:09:02,251 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-15 22:09:02,253 | bot | INFO | Cog loaded: AdminCommands
2022-04-16 00:54:50,175 | main | INFO | Starting program...
2022-04-16 00:54:50,192 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-16 00:54:50,310 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-16 00:54:50,312 | bot | INFO | Bot Subclass Created.
2022-04-16 00:54:50,329 | bot | INFO | Cog loaded: AdminCommands
2022-04-16 00:54:50,341 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-16 00:54:50,345 | bot | INFO | Cog loaded: OCPcommands
2022-04-16 00:54:50,352 | bot | INFO | Cog loaded: CPcommands
2022-04-16 00:54:50,354 | bot | INFO | Cog loaded: ErrorHandler
2022-04-16 08:24:23,680 | main | INFO | Starting program...
2022-04-16 08:24:23,682 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-16 08:24:23,733 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-16 08:24:23,734 | bot | INFO | Bot Subclass Created.
2022-04-16 08:24:23,737 | bot | INFO | Cog loaded: OCPcommands
2022-04-16 08:24:23,744 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-16 08:24:23,746 | bot | INFO | Cog loaded: AdminCommands
2022-04-16 08:24:23,748 | bot | INFO | Cog loaded: ErrorHandler
2022-04-16 08:24:23,750 | bot | INFO | Cog loaded: CPcommands
2022-04-17 00:41:54,138 | main | INFO | Starting program...
2022-04-17 00:41:54,139 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-17 00:41:54,200 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-17 00:41:54,202 | bot | INFO | Bot Subclass Created.
2022-04-17 00:41:54,207 | bot | INFO | Cog loaded: CPcommands
2022-04-17 00:41:54,208 | bot | INFO | Cog loaded: ErrorHandler
2022-04-17 00:41:54,210 | bot | INFO | Cog loaded: AdminCommands
2022-04-17 00:41:54,212 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-17 00:41:54,214 | bot | INFO | Cog loaded: OCPcommands
2022-04-17 20:41:51,002 | main | INFO | Starting program...
